dataset,attack,method,alpha,n_seeds,acc_mean,acc_se,dp_mean,dp_se,if_mean,if_se
adult,combined,dro,0.1,5,0.812139303482587,0.003488706268615998,0.15427915900945663,0.014357992129602915,0.026240618023716456,0.002653888644491562
adult,combined,dro,0.2,5,0.7923272526257601,0.009715214428389678,0.11810970343649388,0.04988982484152167,0.016452069764328458,0.00905703134119505
adult,combined,dro,0.3,5,0.7521282476506357,0.0,1.9283419255384244e-12,1.901052553911881e-12,4.231355741200922e-32,4.019101257359823e-32
adult,combined,naive,0.1,5,0.8072747374239911,0.004631113678462909,0.1268920347094536,0.016491666524661514,0.022489265058921914,0.003570264533601179
adult,combined,naive,0.2,5,0.805461580983969,0.00857483654989899,0.1969293996691704,0.04202394870346957,0.03640934793390338,0.009264325115887949
adult,combined,naive,0.3,5,0.7521282476506357,0.0,2.0741859831107668e-19,2.0737791374146843e-19,2.8624367738369328e-36,1.751667152529903e-36
adult,dp,dro,0.1,5,0.812913211719182,0.0030868152075120272,0.22967520952224732,0.00822015697753805,0.046466884976514924,0.0034772225931731454
adult,dp,dro,0.2,5,0.7898507462686568,0.003929317956482132,0.20925927460193633,0.039140514756635644,0.04597383896142753,0.011003094144215932
adult,dp,dro,0.3,5,0.7521282476506357,0.0,1.6829864076585319e-07,1.682986265993918e-07,4.4885386275715616e-41,2.7628811604977577e-41
adult,dp,naive,0.1,5,0.8156771697070205,0.003972937478480894,0.20559119582176208,0.008577846532067676,0.04187926319617933,0.0032207691674871575
adult,dp,naive,0.2,5,0.7864455500276395,0.003433650223988257,0.17053205892443657,0.03280042593923603,0.05047414321384246,0.012727782413263363
adult,dp,naive,0.3,5,0.7521282476506357,0.0,2.3125930403908977e-26,2.3125859966234154e-26,0.0,0.0
adult,if,dro,0.1,5,0.8153676064123825,0.0028859745265866687,0.16855375170707704,0.006811680228236356,0.0341533889935702,0.001689135191753813
adult,if,dro,0.2,5,0.7948922056384744,0.012453765334002102,0.08818380458906176,0.027986325933489185,0.016304940085670214,0.006219315128500666
adult,if,dro,0.3,5,0.49753454947484793,0.05273988072238371,0.21764837205410004,0.023245190532399575,0.04995910017538224,0.0023965553330119616
adult,if,naive,0.1,5,0.8137755666113875,0.0025113049104733168,0.151637202501297,0.007456989618642418,0.031260715259397664,0.00247196768517835
adult,if,naive,0.2,5,0.8035378662244334,0.007800435945765673,0.11150128170847892,0.0198953687656939,0.02523087623825453,0.005818408543028251
adult,if,naive,0.3,5,0.5684687672747375,0.01489911905857309,0.2697506248950958,0.015401439446663773,0.05757683929054053,0.00334890316547397
credit,combined,dro,0.1,5,0.7839333333333334,0.0033406586176980067,0.0026312200357513664,0.0019193060618218193,0.00012574311978580185,9.352646369290654e-05
credit,combined,dro,0.2,5,0.7788333333333334,0.0,5.320894656011721e-09,5.320020734268814e-09,0.0,0.0
credit,combined,dro,0.3,5,0.7787000000000001,0.00013333333333334085,9.423847418110753e-05,9.00432408835532e-05,0.0,0.0
credit,combined,naive,0.1,5,0.7826666666666668,0.003102866058626711,0.002103329822421074,0.0014749030650613097,6.317256583952023e-05,6.317256583952022e-05
credit,combined,naive,0.2,5,0.7788333333333334,0.0,6.667782475528257e-17,6.654963304463215e-17,0.0,0.0
credit,combined,naive,0.3,5,0.7734666666666666,0.003250811864408302,0.002206897666467267,0.001751025088903658,2.6865219450514602e-05,2.6865219450514602e-05
credit,dp,dro,0.1,5,0.7876,0.0047832462245262185,0.004695609561393532,0.0025826122960604667,0.00044586334576637886,0.0001996746601055786
credit,dp,dro,0.2,5,0.7790666666666668,0.00014529663145133978,0.00040334209423426964,0.00032482138974666375,0.0,0.0
credit,dp,dro,0.3,5,0.7788333333333334,0.0,9.236083095293806e-09,8.900778460082421e-09,0.0,0.0
credit,dp,naive,0.1,5,0.7865,0.00470224532655528,0.0037356083969602273,0.0022870017330390508,0.00024868166286061145,0.0001589836742475717
credit,dp,naive,0.2,5,0.779,0.0001666666666666483,6.387595878436922e-05,6.379268055177767e-05,0.0,0.0
credit,dp,naive,0.3,5,0.7798,0.0006591239977761646,0.000811310438803297,0.000528381264608269,0.0,0.0
credit,if,dro,0.1,5,0.7997666666666667,0.0026732211115265254,0.013076013699173928,0.0028124842046221145,0.0004230258982362829,0.00019705552666932048
credit,if,dro,0.2,5,0.7826000000000001,0.004526342649179109,0.008405641971944534,0.005711986188634576,0.00023551124560772493,0.000226430524847277
credit,if,dro,0.3,5,0.7787999999999999,0.00016996731711976473,0.002075692545622587,0.0010139182022519083,0.0,0.0
credit,if,naive,0.1,5,0.7985,0.0031706115778786063,0.013311951234936715,0.0032172517680597564,0.0006325504226670454,0.00022087751658947402
credit,if,naive,0.2,5,0.8022666666666666,0.0031900888179902907,0.023656861484050752,0.0023550673457490147,0.0007825571730732842,0.00024855589625005943
credit,if,naive,0.3,5,0.7045666666666667,0.001934051590717157,0.08230768442153931,0.010456817304138088,0.005822035270517288,0.0012445065199720934
lsac,combined,dro,0.1,5,0.9040385129713828,0.0008846127525296192,0.013481175899505616,0.0050400968091246015,0.00019941828880668382,0.00011374889320265744
lsac,combined,dro,0.2,5,0.9014174913078363,0.0007255768904119143,0.014047014713287353,0.008587069748861677,3.5526810085199094e-05,3.5526810085199094e-05
lsac,combined,dro,0.3,5,0.9018454132120887,5.551115123125783e-17,0.0,0.0,0.0,0.0
lsac,combined,naive,0.1,5,0.9027547472586253,0.0009093340465365029,0.0026383161544799804,0.002635962401876441,3.2573582449562716e-05,3.2573582449562716e-05
lsac,combined,naive,0.2,5,0.9015244717838993,0.000868290081880055,0.014017260074615479,0.008578755495369397,4.0426832662709116e-05,4.0426832662709116e-05
lsac,combined,naive,0.3,5,0.9018454132120887,5.551115123125783e-17,0.0,0.0,0.0,0.0
lsac,dp,dro,0.1,5,0.9031291789248461,0.0009620810777536733,0.017574059963226318,0.0062486372129478395,0.00024755826449519836,8.360669940881235e-05
lsac,dp,dro,0.2,5,0.9028617277346884,0.0006237980096116934,0.006597685813903809,0.005330241013334614,8.880453691388764e-05,5.496530608769841e-05
lsac,dp,dro,0.3,5,0.9018454132120887,5.551115123125783e-17,2.5033950805664064e-07,2.503395080566406e-07,0.0,0.0
lsac,dp,naive,0.1,5,0.9031291789248461,0.0008041346016781532,0.006861591339111328,0.004212197250797885,9.661936387616598e-05,9.502955306557099e-05
lsac,dp,naive,0.2,5,0.9009360791655523,0.0008440617190724456,0.01364210844039917,0.008445696801110588,1.4907820552432338e-05,1.490782055243234e-05
lsac,dp,naive,0.3,5,0.9018454132120887,5.551115123125783e-17,0.0,0.0,0.0,0.0
lsac,if,dro,0.1,5,0.9016849424979941,0.0008608439122455816,0.01227961778640747,0.007118833706896934,7.714138976295551e-05,6.220522798961187e-05
lsac,if,dro,0.2,5,0.9023803155924043,0.00047089641245410434,0.0008981943130493164,0.0008421098268610864,0.0,0.0
lsac,if,dro,0.3,5,0.9004011767852367,0.0014442364268520966,0.0009260296821594239,0.0007521262241507698,7.31141303869214e-05,7.31141303869214e-05
lsac,if,naive,0.1,5,0.90291521797272,0.0006605557119672914,0.008610939979553223,0.005874625629751854,7.618687912302774e-06,5.146746120456052e-06
lsac,if,naive,0.2,5,0.9025407863064991,0.00042792190425247764,0.0059200644493103026,0.004666989869322655,2.6206724182908562e-05,2.620672418290856e-05
lsac,if,naive,0.3,5,0.8932334848890078,0.004932571491544319,0.024054741859436034,0.006471168557103826,0.0042822301293519716,0.0027382915570758875
